Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE0008766,"SCREW;02531848,KSB;ADJUSTING",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901032,2,,0,0,80115035,6/25/2023,,BTP_TM_PROD,4502780938,10,C601,6/25/2023,,,
AE0008766,"SCREW;02531848,KSB;ADJUSTING",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901032,1,,0,0,80115035,6/25/2023,Q009,BTP_TM_PROD,4502780938,10,C601,6/25/2023,,,
AE0008773,"GSKT;02529331,KSB;LCC-M150-500,WET END",641,TF to stck in trans.,6/25/2023,,-3,KIT,-3,KIT,0,PEN,4908901032,5,,0,0,80115035,6/25/2023,Q009,BTP_TM_PROD,4502780938,30,C601,6/25/2023,,,
AE0008773,"GSKT;02529331,KSB;LCC-M150-500,WET END",641,TF to stck in trans.,6/25/2023,,3,KIT,3,KIT,0,PEN,4908901032,6,,0,0,80115035,6/25/2023,,BTP_TM_PROD,4502780938,30,C601,6/25/2023,,,
AE0008825,"PCKNG;2030,META.ARAMIDFIBER,5/8IN,TEADIT",101,GR stock in transit,6/25/2023,,2,ROL,2,ROL,0,PEN,5005140430,2,001-012104,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,390,C601,6/25/2023,,,
AE0008831,"PCKNG;2030,META.ARAMIDFIBER,1/2IN,TEADIT",101,GR stock in transit,6/25/2023,,2,ROL,2,ROL,0,PEN,5005140430,1,001-012104,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,380,C601,6/25/2023,,,
AE0008840,"PCKNG;2030,META.ARAMIDFIBER,3/8IN,TEADIT",101,GR stock in transit,6/25/2023,,1,ROL,1,ROL,0,PEN,5005140465,1,001-012105,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,370,C601,6/25/2023,,,
AE0009174,"GSKT;352047,KSB;262/274X0,5,PTFE-GF 25",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140444,1,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,170,C601,6/25/2023,,,
AE0009242,"O RNG;372776,KSB;50,52MM,1.78MM,FKM 80",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901311,3,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,70,C601,6/26/2023,,,
AE0009242,"O RNG;372776,KSB;50,52MM,1.78MM,FKM 80",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901311,4,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,70,C601,6/26/2023,,,
